order_id,order_date,store_id,product_id,product_name,category,quantity,unit_price,region
ORD-03419,2026-07-01,ST-003,SKU-BE-004,Hand Cream 100ml,Beauty,3,1.99,East
ORD-02728,2026-06-06,ST-009,SKU-TY-001,Wooden Puzzle Set,Toys,2,7.99,East
ORD-02012,2026-05-10,ST-006,SKU-TY-003,Plush Bear Medium,Toys,5,6.49,North
ORD-01657,2026-04-28,ST-017,SKU-HM-003,Cotton Bedsheet Set,Home,2,14.99,West
ORD-04504,2026-08-07,ST-018,SKU-AP-005,Rain Jacket,Apparel,1,18.99,North
ORD-03759,2026-07-12,ST-014,SKU-GR-004,Whole Wheat Pasta 1kg,Grocery,1,1.99,Central
ORD-01283,2026-04-14,ST-024,SKU-GR-001,Organic Almonds 500g,Grocery,2,6.49,West
ORD-04981,2026-08-24,ST-020,SKU-AP-003,Denim Jacket,Apparel,2,23.99,Central
ORD-03490,2026-07-03,ST-014,SKU-HM-003,Cotton Bedsheet Set,Home,4,14.99,South
ORD-00366,2026-03-13,ST-015,SKU-EL-005,Smartwatch Band,Electronics,2,7.99,West
ORD-00371,2026-03-13,ST-013,SKU-AP-003,Denim Jacket,Apparel,1,23.99,East
ORD-00793,2026-03-28,ST-022,SKU-BE-003,Shampoo 400ml,Beauty,4,3.49,West
ORD-04527,2026-08-08,ST-015,SKU-AP-005,Rain Jacket,Apparel,3,18.99,North
ORD-04552,2026-08-09,ST-016,SKU-BE-002,Sunscreen SPF 50,Beauty,2,5.49,Central
ORD-01807,2026-05-03,ST-020,SKU-GR-002,Green Tea Box 25pk,Grocery,1,2.49,Central
ORD-01383,2026-04-18,ST-020,SKU-GR-004,Whole Wheat Pasta 1kg,Grocery,-3,1.99,East
ORD-04992,2026-08-24,ST-004,SKU-BE-001,Aloe Vera Gel 200ml,Beauty,5,2.49,East
ORD-03172,2026-06-22,ST-018,SKU-HM-002,LED Desk Lamp,Home,1,11.99,North
ORD-02706,2026-06-05,ST-017,SKU-TY-003,Plush Bear Medium,Toys,3,6.49,West
ORD-01834,2026-05-04,ST-020,SKU-AP-005,Rain Jacket,Apparel,1,18.99,West
ORD-03652,2026-07-09,ST-001,SKU-TY-004,Board Game Family Pack,Toys,5,14.99,East
ORD-04683,2026-08-14,ST-002,SKU-BE-001,Aloe Vera Gel 200ml,Beauty,1,2.49,Central
ORD-01214,2026-04-12,ST-016,SKU-GR-005,Dark Chocolate Bar,Grocery,1,1.79,East
ORD-01516,2026-04-23,ST-010,SKU-TY-004,Board Game Family Pack,Toys,,14.99,North
ORD-04639,2026-08-12,ST-021,SKU-TY-002,Building Blocks 100pc,Toys,1,12.99,North
ORD-04073,2026-07-22,ST-024,SKU-TY-005,Remote Control Car,Toys,5,16.99,East
ORD-04636,2026-08-12,ST-008,SKU-AP-003,Denim Jacket,Apparel,2,23.99,West
ORD-02037,2026-05-11,ST-018,SKU-EL-001,Wireless Earbuds,Electronics,1,18.49,West
ORD-02501,2026-05-28,ST-019,SKU-EL-004,Power Bank 10000mAh,Electronics,5,12.99,West
ORD-03390,2026-06-30,ST-004,SKU-HM-005,Storage Basket Set,Home,5,6.99,Central
ORD-01252,2026-04-13,ST-008,SKU-EL-005,Smartwatch Band,Electronics,1,7.99,South
ORD-00982,2026-04-03,ST-003,SKU-HM-005,Storage Basket Set,Home,2,6.99,South
ORD-03682,2026-07-10,ST-013,SKU-BE-005,Lip Balm Pack of 3,Beauty,4,1.49,South
ORD-00442,2026-03-16,ST-009,SKU-EL-004,Power Bank 10000mAh,Electronics,2,12.99,Central
ORD-02890,2026-06-12,ST-002,SKU-AP-002,Running Shoes,Apparel,2,29.99,South
ORD-04317,2026-07-31,ST-015,SKU-AP-002,Running Shoes,Apparel,1,29.99,East
ORD-04725,2026-08-15,ST-011,SKU-BE-001,Aloe Vera Gel 200ml,Beauty,1,2.49,East
ORD-01315,2026-04-15,ST-020,SKU-EL-005,Smartwatch Band,Electronics,1,7.99,North
ORD-01193,2026-04-11,ST-006,SKU-TY-003,Plush Bear Medium,Toys,1,6.49,North
ORD-03864,2026-07-16,ST-016,SKU-AP-001,Cotton T-Shirt,Apparel,1,,South
ORD-01406,2026-04-19,ST-012,SKU-EL-001,Wireless Earbuds,Electronics,3,18.49,West
ORD-04640,2026-08-12,ST-019,SKU-EL-001,Wireless Earbuds,Electronics,1,18.49,Central
ORD-04185,2026-07-26,ST-023,SKU-AP-004,Wool Socks 3-pack,Apparel,1,3.49,East
ORD-04322,2026-08-01,ST-013,SKU-TY-003,Plush Bear Medium,Toys,1,6.49,Central
ORD-03769,2026-07-13,ST-010,SKU-GR-004,Whole Wheat Pasta 1kg,Grocery,4,1.99,East
ORD-00480,2026-03-17,ST-015,SKU-EL-002,USB-C Charger 30W,Electronics,3,8.99,Central
ORD-00149,2026-03-06,ST-023,SKU-TY-003,Plush Bear Medium,Toys,4,6.49,Central
ORD-02557,2026-05-31,ST-012,SKU-HM-003,Cotton Bedsheet Set,Home,2,14.99,East
ORD-04965,2026-08-23,ST-017,SKU-AP-003,Denim Jacket,Apparel,2,23.99,South
ORD-04093,2026-07-23,ST-019,SKU-TY-002,Building Blocks 100pc,Toys,2,12.99,East
ORD-03010,2026-06-16,ST-018,SKU-TY-004,Board Game Family Pack,Toys,5,14.99,South
ORD-00107,2026-03-04,ST-002,SKU-AP-005,Rain Jacket,Apparel,4,18.99,North
ORD-01004,2026-04-04,ST-017,SKU-BE-005,Lip Balm Pack of 3,Beauty,3,1.49,South
ORD-03362,2026-06-29,ST-006,SKU-BE-005,Lip Balm Pack of 3,Beauty,4,1.49,Central
ORD-04746,2026-08-16,ST-013,SKU-TY-005,Remote Control Car,Toys,1,16.99,East
ORD-00320,2026-03-11,ST-002,SKU-TY-005,Remote Control Car,Toys,2,16.99,Central
ORD-01679,2026-04-29,ST-005,SKU-ST-003,Desk Organizer,Stationery,5,5.99,Central
ORD-00848,2026-03-30,ST-021,SKU-GR-005,Dark Chocolate Bar,Grocery,3,1.79,Central
ORD-01556,2026-04-25,ST-002,SKU-AP-004,Wool Socks 3-pack,Apparel,1,3.49,West
ORD-02285,2026-05-21,ST-012,SKU-AP-001,Cotton T-Shirt,Apparel,5,4.99,East
ORD-02259,2026-05-20,ST-011,SKU-AP-003,Denim Jacket,Apparel,1,23.99,South
ORD-01973,2026-05-09,ST-013,SKU-AP-003,Denim Jacket,Apparel,3,23.99,East
ORD-04154,2026-07-25,ST-024,SKU-TY-003,Plush Bear Medium,Toys,2,,North
ORD-03802,2026-07-14,ST-003,SKU-EL-002,USB-C Charger 30W,Electronics,5,8.99,East
ORD-00393,2026-03-14,ST-006,SKU-GR-005,Dark Chocolate Bar,Grocery,1,1.79,Central
ORD-01128,2026-04-08,ST-006,SKU-GR-002,Green Tea Box 25pk,Grocery,1,2.49,West
ORD-02839,2026-06-10,ST-024,SKU-HM-001,Ceramic Mug Set,Home,2,5.99,West
ORD-03179,2026-06-22,ST-002,SKU-TY-003,Plush Bear Medium,Toys,2,6.49,Central
ORD-04002,2026-07-20,ST-013,SKU-GR-005,Dark Chocolate Bar,Grocery,1,1.79,West
ORD-04539,2026-08-09,ST-012,SKU-BE-004,Hand Cream 100ml,Beauty,4,1.99,North
ORD-01161,2026-04-10,ST-005,SKU-ST-004,Sticky Notes Set,Stationery,1,0.99,North
ORD-02641,2026-06-03,ST-018,SKU-HM-003,Cotton Bedsheet Set,Home,3,14.99,West
ORD-03565,2026-07-06,ST-008,SKU-ST-003,Desk Organizer,Stationery,2,5.99,Central
ORD-00623,2026-03-22,ST-015,SKU-AP-005,Rain Jacket,Apparel,4,18.99,West
ORD-02694,2026-06-05,ST-002,SKU-TY-004,Board Game Family Pack,Toys,2,14.99,Central
ORD-05072,2026/08/26,ST-014,SKU-GR-003,Extra Virgin Olive Oil 1L,Grocery,3,8.99,Central
ORD-01311,2026-04-15,ST-019,SKU-BE-002,Sunscreen SPF 50,Beauty,1,5.49,South
ORD-00551,2026-03-20,ST-013,SKU-HM-004,Non-stick Pan 24cm,Home,3,9.99,West
ORD-03532,2026-07-05,ST-005,SKU-ST-001,Notebook A5 Ruled,Stationery,4,1.29,South
ORD-03917,2026-07-17,ST-009,SKU-HM-003,Cotton Bedsheet Set,Home,5,14.99,Central
ORD-04203,2026-07-27,ST-018,SKU-TY-003,Plush Bear Medium,Toys,2,6.49,Central
ORD-04698,2026-08-14,ST-005,SKU-ST-004,Sticky Notes Set,Stationery,1,0.99,West
ORD-01091,2026-04-07,ST-004,SKU-EL-004,Power Bank 10000mAh,Electronics,3,12.99,West
ORD-04820,2026-08-18,ST-020,SKU-AP-001,Cotton T-Shirt,Apparel,1,4.99,South
ORD-03314,2026-06-27,ST-021,SKU-BE-005,Lip Balm Pack of 3,Beauty,4,1.49,North
ORD-02940,2026-06-13,ST-003,SKU-HM-003,Cotton Bedsheet Set,Home,1,14.99,Central
ORD-02451,2026-05-26,ST-014,SKU-GR-002,Green Tea Box 25pk,Grocery,2,2.49,South
ORD-04726,2026-08-15,ST-002,SKU-HM-004,Non-stick Pan 24cm,Home,2,9.99,East
ORD-01403,2026-04-19,ST-002,SKU-EL-001,Wireless Earbuds,Electronics,1,18.49,West
ORD-01313,2026-04-15,ST-004,SKU-ST-001,Notebook A5 Ruled,Stationery,2,1.29,North
ORD-01880,2026-05-06,ST-009,SKU-GR-003,Extra Virgin Olive Oil 1L,Grocery,1,8.99,West
ORD-02879,2026-06-12,ST-016,SKU-ST-004,Sticky Notes Set,Stationery,1,0.99,West
ORD-02667,2026-06-04,ST-001,SKU-ST-002,Gel Pen Pack of 10,Stationery,3,1.49,South
ORD-02720,2026-06-06,ST-003,SKU-EL-002,USB-C Charger 30W,Electronics,2,8.99,East
ORD-03386,2026-06-29,ST-009,SKU-ST-003,Desk Organizer,Stationery,1,5.99,North
